CM code,TM/CP code,Client Code,Minimum Margins (a),Cash allocated (b),Cash-Others (c),Non-cash Securities (d),Short allocation Max [a-(b+c+d), 0]
14697,14697,09CK105,0,60866.48,0,0,0,
14697,14697,07IM005,0,217462.74,0,0,0,
14697,14697,09GB336,332.91,6808.88,0,0,0,
14697,14697,07FN035,0,0,0,240385.56,0,
14697,14697,09GB220,4166.4,14457.43,0,0,0,
14697,14697,01GBE01,4380.4,10934.84,0,0,0,
14697,14697,09HS058,0,4471.03,0,0,0,
14697,14697,09GB012,0,2799.93,0,0,0,
14697,14697,09GDDB01,282,15777.19,0,0,0,
14697,14697,07ID002,0,471959.72,0,0,0,
14697,14697,09GB010,281,24176.26,0,0,0,
14697,14697,09PK140,281.41,23346.83,0,0,0,
14697,14697,07ELE45,0,686.06,0,0,0,
14697,14697,03AM033,0,1524.86,0,0,0,
14697,14697,09GB318,4166.4,0,0,0,4166.4,
14697,14697,11AA048,0,0,0,22506.63,0,
14697,14697,07BL001,0,338.84,0,0,0,
14697,14697,FD050,0,17061.1,0,0,0,
14697,14697,01DA003,920,6492.35,0,0,0,
14697,14697,FD879,3803.9,40465.78,0,0,0,
14697,14697,FD244,0,40.05,0,0,0,
14697,14697,07HDE05,0,1569.75,0,0,0,
14697,14697,07FD214,5773.59,12234.8,0,0,0,
14697,14697,07IR013,0,35.29,0,0,0,
14697,14697,FDE645,49356.2,68789.34,0,50951.32,0,
14697,14697,FD1104,0,355.67,0,0,0,
14697,14697,01CNE23,0,817.55,0,0,0,
14697,14697,FDE834,0,79484.16,0,0,0,
14697,14697,FDE720,79.5,0,0,0,79.5,
14697,14697,FD492,0,244.9,0,0,0,
14697,14697,09FD6565,1654.8,0,0,72564.97,0,
14697,14697,07EM029,0,3914.92,0,244455.39,0,
14697,14697,09GB272,0,15752.55,0,0,0,
14697,14697,AHM3E21,0,33423.75,0,9725.6,0,
14697,14697,09PK135,4166.4,2390.1,0,0,1776.3,
14697,14697,17PP011,0,38.19,0,0,0,
14697,14697,01AX026,0,50000,0,0,0,
14697,14697,11FD020,0,8842.88,0,0,0,
14697,14697,01AT330,0,42058.79,0,0,0,
14697,14697,01AT145,0,22.43,0,0,0,
14697,14697,07EM034,0,0,0,516467.44,0,
14697,14697,07HD028,0,1495.36,0,0,0,
14697,14697,07CR004,0,625.3,0,0,0,
14697,14697,14FD060,0,179824.79,0,0,0,
14697,14697,03FD133,0,79.95,0,0,0,
14697,14697,09GB063,0,514.25,0,0,0,
14697,14697,FD602,0,22.53,0,0,0,
14697,14697,09GB218,2347.4,15181.51,0,0,0,
14697,14697,01FK039,0,0,0,70896.76,0,
14697,14697,09PK237,4447.41,9591.77,0,0,0,
14697,14697,09GB264,4166.4,0,0,0,4166.4,
14697,14697,11AA039,0,31389.71,0,0,0,
14697,14697,07EM104,0,63.53,0,0,0,
14697,14697,09GB298,2347.39,15181.51,0,0,0,
14697,14697,09PK242,4393.05,0,0,0,4393.05,
14697,14697,09GB255,2367.65,15413.14,0,0,0,
14697,14697,07BT006,0,558.44,0,0,0,
14697,14697,01BU007,0,0,0,65382.24,0,
14697,14697,09GDJP01,4166.4,664.76,0,0,3501.64,
14697,14697,07FD414,0,781.93,0,0,0,
14697,14697,09GB072,4816.56,5000,0,0,0,
14697,14697,09GB310,2843.98,15000,0,0,0,
14697,14697,09GB280,0,15241.89,0,0,0,
14697,14697,09GB349,0,5000,0,0,0,
14697,14697,09GB270,4166.4,122.04,0,0,4044.36,
14697,14697,07BK005,166.52,821.4,0,0,0,
14697,14697,LTC013,0,45000,0,0,0,
14697,14697,01BW016,0,0.4,0,0,0,
14697,14697,FD873,0,0,0,52771.43,0,
14697,14697,09PK036,116.49,23067.59,0,0,0,
14697,14697,09HS190,0,33.13,0,0,0,
14697,14697,09GDLR01,4166.4,2920.42,0,0,1245.98,
14697,14697,07HN003,0,486.53,0,0,0,
14697,14697,FDE798,0,4500,0,0,0,
14697,14697,FDL012,0,134597.96,0,0,0,
14697,14697,11AIE07,2763.75,6316.38,0,0,0,
14697,14697,09PK031,2369.46,13451.24,0,0,0,
14697,14697,07AV017,3391.8,1.7,0,497747.54,0,
14697,14697,09PK158,2369.31,13451.24,0,0,0,
14697,14697,AHME83,0,2883.03,0,0,0,
14697,14697,07HD054,0,249.48,0,0,0,
14697,14697,09GB025,281.91,3008.97,0,0,0,
14697,14697,09FD249,0,1017.99,0,0,0,
14697,14697,01AT434,0,912.45,0,0,0,
14697,14697,11AA077,0,5171.42,0,0,0,
14697,14697,07CP001,1253.61,57.02,0,0,1196.59,
14697,14697,09VA003,20794.6,79688.61,0,0,0,
14697,14697,09GDHU01,0,510.26,0,0,0,
14697,14697,01CA0090,35000,0,0,0,35000,
14697,14697,01FK094,0,75200.12,0,0,0,
14697,14697,09GB340,333,6787.74,0,0,0,
14697,14697,09GDBJ01,4352.32,0,0,0,4352.32,
14697,14697,09GB355,0,5000,0,0,0,
14697,14697,FD069,0,222.3,0,0,0,
14697,14697,07IP002,683.49,137.99,0,0,545.5,
14697,14697,03FD129,0,224199.96,0,0,0,
14697,14697,09GB067,4366.81,0,0,0,4366.81,
14697,14697,14FD006,0,547.59,0,0,0,
14697,14697,09GB106,0,1263.4,0,0,0,
14697,14697,09GD07,60076.81,0,0,0,60076.81,
14697,14697,07FD256,0,1787.76,0,0,0,
14697,14697,11AD003,0,18667.48,0,0,0,
14697,14697,09PK126,4166.4,0,0,0,4166.4,
14697,14697,09PK088,4302.4,0,0,0,4302.4,
14697,14697,01AT458,0,1039.74,0,0,0,
14697,14697,FDL011,0,205.68,0,0,0,
14697,14697,09PK129,4447.93,664.76,0,0,3783.17,
14697,14697,07GV008,0,16446.32,0,0,0,
14697,14697,01EQ002,0,1637208.02,0,0,0,
14697,14697,09PK233,282,23422.3,0,0,0,
14697,14697,07DM001,19245.5,114796.97,0,0,0,
14697,14697,01BD001,0,461.04,0,0,0,
14697,14697,09GB261,4166.4,0,0,0,4166.4,
14697,14697,FD142,17661.3,7460.93,0,950193.64,0,
14697,14697,09GB354,4282.56,5000,0,0,0,
14697,14697,FD1007,0,118.04,0,0,0,
14697,14697,09GB175,0,4197.86,0,0,0,
14697,14697,09HS202,0,11.19,0,0,0,
14697,14697,09GB097,2347.4,15189.97,0,0,0,
14697,14697,09GD013,2347.4,15000.21,0,0,0,
14697,14697,09GB363,6416.33,0,0,0,6416.33,
14697,14697,09GB003,652.62,3803.37,0,0,0,
14697,14697,04FD081,0,96.38,0,0,0,
14697,14697,01DM006,0,250751.76,0,0,0,
14697,14697,01AT069,6042.9,31617.17,0,0,0,
14697,14697,01BW007,0,19729.07,0,0,0,
14697,14697,07EM024,17338.7,78414.06,0,249800.36,0,
14697,14697,09GB356,2308,18224.35,0,0,0,
14697,14697,09HS145,0,63.91,0,0,0,
14697,14697,AHM3E4,0,105566.39,0,9725.6,0,
14697,14697,09HS195,2306.01,87268.92,0,0,0,
14697,14697,07FN039,0,4091.71,0,135810.24,0,
14697,14697,07EM106,0,150000,0,0,0,
14697,14697,01BM029,0,11.01,0,0,0,
14697,14697,09HS049,0,24447.12,0,0,0,
14697,14697,09GB168,2369.46,13451.24,0,0,0,
14697,14697,JLD092,0,351,0,0,0,
14697,14697,09GB353,333,5161.31,0,0,0,
14697,14697,07FN072,15357.8,63794.06,0,0,0,
14697,14697,09GB026,2370.16,14076.81,0,0,0,
14697,14697,01FYE01,0,101.4,0,0,0,
14697,14697,01FK036,0,9802.79,0,0,0,
14697,14697,01AT416,19400,344576.28,0,0,0,
14697,14697,09PK229,0,3106.32,0,0,0,
14697,14697,09GB134,4166.4,0,0,0,4166.4,
14697,14697,FD623,0,0,0,418904,0,
14697,14697,FD671,0,531.62,0,0,0,
14697,14697,07DM017,0,6351.6,0,0,0,
14697,14697,07MDE4,0,2055.09,0,0,0,
14697,14697,09GD011,333.4,16224.69,0,0,0,
14697,14697,09GD065,0,4815.94,0,0,0,
14697,14697,FDE670,0,70599.76,0,389316.37,0,
14697,14697,08FD095,0,67.61,0,0,0,
14697,14697,03AK035,0,194.2,0,0,0,
14697,14697,FDE292,0,0.74,0,0,0,
14697,14697,FD468,427132.15,0,0,2763412.61,0,
14697,14697,09HS078,8928.42,45008.51,0,0,0,
14697,14697,01CNE83,63371.1,171194.37,0,0,0,
14697,14697,FD046,0,518.38,0,0,0,
14697,14697,09GB040,333,4164.49,0,0,0,
14697,14697,09GB111,0,30956.6,0,0,0,
14697,14697,07FT007,112263.22,87792.07,0,0,24471.15,
14697,14697,09GDKJ01,33311.81,169347,0,0,0,
14697,14697,01AT075,0,0,33681.33,12827.26,0,
14697,14697,09GB020,0,16540.02,0,0,0,
14697,14697,09GD002,333.4,19541.97,0,0,0,
14697,14697,01FK090,0,723.3,0,44240.74,0,
14697,14697,09GB377,2531,15000,0,0,0,
14697,14697,01AT300,0,22.1,0,0,0,
